FUNC __main__.calc_pure_python 43.2109 1706476913.9865 46.4141 1706476917.7482 0
FUNC __main__.calculate_z_serial_purepython 120.8828 1706476914.1658 131.4531 1706476917.7187 1
CMDLINE /usr/bin/python task_2.py
MEM 0.644531 1706476913.7803
MEM 25.375000 1706476913.8809
MEM 42.695312 1706476913.9812
MEM 84.269531 1706476914.0815
MEM 128.359375 1706476914.1819
MEM 128.359375 1706476914.2822
MEM 128.617188 1706476914.3825
MEM 128.617188 1706476914.4827
MEM 128.617188 1706476914.5829
MEM 128.875000 1706476914.6831
MEM 128.875000 1706476914.7833
MEM 129.132812 1706476914.8835
MEM 129.132812 1706476914.9838
MEM 129.132812 1706476915.0841
MEM 129.390625 1706476915.1843
MEM 129.390625 1706476915.2846
MEM 129.390625 1706476915.3856
MEM 129.648438 1706476915.4858
MEM 129.648438 1706476915.5860
MEM 129.648438 1706476915.6863
MEM 129.906250 1706476915.7865
MEM 129.906250 1706476915.8867
MEM 129.906250 1706476915.9869
MEM 130.164062 1706476916.0871
MEM 130.164062 1706476916.1873
MEM 130.421875 1706476916.2876
MEM 130.421875 1706476916.3879
MEM 130.421875 1706476916.4881
MEM 130.679688 1706476916.5883
MEM 130.679688 1706476916.6885
MEM 130.679688 1706476916.7887
MEM 130.937500 1706476916.8889
MEM 130.937500 1706476916.9891
MEM 130.937500 1706476917.0893
MEM 131.195312 1706476917.1895
MEM 131.195312 1706476917.2898
MEM 131.195312 1706476917.3900
MEM 131.453125 1706476917.4902
MEM 131.453125 1706476917.5904
MEM 131.453125 1706476917.6906
MEM 0.000000 1706476917.7910
