CMDLINE /usr/bin/python task_2.1.py
MEM 0.636719 1706531312.5276
MEM 26.128906 1706531312.6279
MEM 42.785156 1706531312.7281
MEM 58.570312 1706531312.8284
MEM 68.367188 1706531312.9287
MEM 65.125000 1706531313.0290
MEM 66.792969 1706531313.1294
MEM 71.570312 1706531313.2297
MEM 68.687500 1706531313.3300
MEM 65.593750 1706531313.4303
MEM 65.808594 1706531313.5306
MEM 72.250000 1706531313.6309
MEM 69.156250 1706531313.7312
MEM 67.046875 1706531313.8315
MEM 66.792969 1706531313.9318
MEM 72.718750 1706531314.0321
MEM 69.835938 1706531314.1324
MEM 68.031250 1706531314.2327
MEM 68.761719 1706531314.3330
MEM 73.398438 1706531314.4333
MEM 70.304688 1706531314.5336
MEM 69.746094 1706531314.6339
MEM 69.746094 1706531314.7342
MEM 73.609375 1706531314.8345
MEM 70.984375 1706531314.9348
MEM 70.730469 1706531315.0351
MEM 71.714844 1706531315.1354
MEM 74.031250 1706531315.2357
MEM 71.972656 1706531315.3360
MEM 72.703125 1706531315.4363
MEM 72.703125 1706531315.5366
MEM 74.246094 1706531315.6369
MEM 73.687500 1706531315.7372
MEM 73.691406 1706531315.8375
MEM 74.460938 1706531315.9377
MEM 74.976562 1706531316.0381
MEM 74.976562 1706531316.1385
MEM 74.976562 1706531316.2388
MEM 74.976562 1706531316.3391
MEM 74.976562 1706531316.4394
MEM 74.976562 1706531316.5397
MEM 74.976562 1706531316.6400
MEM 74.976562 1706531316.7402
MEM 74.976562 1706531316.8405
MEM 74.976562 1706531316.9408
MEM 74.976562 1706531317.0411
MEM 74.976562 1706531317.1414
MEM 74.976562 1706531317.2417
MEM 74.976562 1706531317.3420
MEM 74.976562 1706531317.4423
MEM 74.976562 1706531317.5426
MEM 74.976562 1706531317.6429
MEM 74.976562 1706531317.7432
MEM 74.976562 1706531317.8435
MEM 74.976562 1706531317.9438
MEM 74.976562 1706531318.0441
MEM 74.976562 1706531318.1444
MEM 74.976562 1706531318.2449
MEM 74.976562 1706531318.3452
MEM 74.976562 1706531318.4455
MEM 74.976562 1706531318.5458
MEM 74.976562 1706531318.6461
MEM 74.976562 1706531318.7469
MEM 74.976562 1706531318.8472
MEM 74.976562 1706531318.9475
MEM 74.976562 1706531319.0478
MEM 74.976562 1706531319.1481
MEM 74.976562 1706531319.2489
MEM 74.976562 1706531319.3492
MEM 74.976562 1706531319.4495
MEM 74.976562 1706531319.5498
MEM 74.976562 1706531319.6501
MEM 74.976562 1706531319.7504
MEM 74.976562 1706531319.8507
MEM 74.976562 1706531319.9510
MEM 74.976562 1706531320.0513
MEM 74.976562 1706531320.1516
MEM 74.976562 1706531320.2519
MEM 74.976562 1706531320.3524
MEM 74.976562 1706531320.4530
MEM 74.976562 1706531320.5533
MEM 74.976562 1706531320.6536
MEM 74.976562 1706531320.7539
MEM 74.976562 1706531320.8542
MEM 74.976562 1706531320.9545
MEM 74.976562 1706531321.0550
MEM 74.976562 1706531321.1553
MEM 74.976562 1706531321.2559
MEM 74.976562 1706531321.3567
MEM 74.976562 1706531321.4570
MEM 74.976562 1706531321.5573
MEM 74.976562 1706531321.6576
MEM 74.976562 1706531321.7580
MEM 74.976562 1706531321.8582
MEM 74.976562 1706531321.9585
MEM 74.976562 1706531322.0589
MEM 74.976562 1706531322.1594
MEM 74.976562 1706531322.2597
MEM 74.976562 1706531322.3603
MEM 74.976562 1706531322.4606
MEM 74.976562 1706531322.5609
MEM 74.976562 1706531322.6612
MEM 74.976562 1706531322.7615
MEM 74.976562 1706531322.8618
MEM 74.976562 1706531322.9624
MEM 74.976562 1706531323.0627
MEM 74.976562 1706531323.1630
MEM 74.976562 1706531323.2635
MEM 74.976562 1706531323.3639
MEM 74.976562 1706531323.4642
MEM 74.976562 1706531323.5645
MEM 74.976562 1706531323.6648
MEM 74.976562 1706531323.7651
MEM 74.976562 1706531323.8654
MEM 74.976562 1706531323.9657
MEM 74.976562 1706531324.0660
MEM 74.976562 1706531324.1665
MEM 74.976562 1706531324.2673
MEM 74.976562 1706531324.3676
MEM 74.976562 1706531324.4679
MEM 74.976562 1706531324.5683
MEM 74.976562 1706531324.6686
MEM 74.976562 1706531324.7688
MEM 74.976562 1706531324.8692
MEM 74.976562 1706531324.9695
MEM 74.976562 1706531325.0697
MEM 74.976562 1706531325.1701
MEM 74.976562 1706531325.2704
MEM 74.976562 1706531325.3707
MEM 74.976562 1706531325.4711
MEM 74.976562 1706531325.5714
MEM 74.976562 1706531325.6717
MEM 74.976562 1706531325.7720
MEM 74.976562 1706531325.8722
MEM 74.976562 1706531325.9725
MEM 74.976562 1706531326.0727
MEM 74.976562 1706531326.1730
MEM 74.976562 1706531326.2734
MEM 74.976562 1706531326.3737
MEM 74.976562 1706531326.4740
MEM 74.976562 1706531326.5743
MEM 74.976562 1706531326.6746
MEM 74.976562 1706531326.7749
MEM 74.976562 1706531326.8752
MEM 74.976562 1706531326.9755
MEM 74.976562 1706531327.0761
MEM 74.976562 1706531327.1764
MEM 74.976562 1706531327.2767
MEM 74.976562 1706531327.3770
MEM 74.976562 1706531327.4773
MEM 74.976562 1706531327.5776
MEM 74.976562 1706531327.6779
MEM 74.976562 1706531327.7782
MEM 74.976562 1706531327.8785
MEM 74.976562 1706531327.9789
MEM 74.976562 1706531328.0792
MEM 74.976562 1706531328.1795
MEM 74.976562 1706531328.2798
MEM 74.976562 1706531328.3801
MEM 74.976562 1706531328.4804
MEM 74.976562 1706531328.5807
MEM 74.976562 1706531328.6810
MEM 74.976562 1706531328.7813
MEM 74.976562 1706531328.8816
MEM 74.976562 1706531328.9819
MEM 74.976562 1706531329.0822
MEM 74.976562 1706531329.1825
MEM 74.976562 1706531329.2828
MEM 74.976562 1706531329.3832
MEM 74.976562 1706531329.4835
MEM 74.976562 1706531329.5838
MEM 74.976562 1706531329.6841
MEM 74.976562 1706531329.7844
MEM 74.976562 1706531329.8847
MEM 74.976562 1706531329.9850
MEM 74.976562 1706531330.0853
MEM 74.976562 1706531330.1856
MEM 74.976562 1706531330.2859
MEM 74.976562 1706531330.3862
MEM 74.976562 1706531330.4865
MEM 74.976562 1706531330.5868
MEM 74.976562 1706531330.6871
MEM 74.976562 1706531330.7874
MEM 74.976562 1706531330.8877
MEM 74.976562 1706531330.9880
MEM 74.976562 1706531331.0883
MEM 74.976562 1706531331.1886
MEM 74.976562 1706531331.2889
MEM 74.976562 1706531331.3894
MEM 74.976562 1706531331.4902
MEM 74.976562 1706531331.5905
MEM 74.976562 1706531331.6908
MEM 74.976562 1706531331.7911
MEM 74.976562 1706531331.8917
MEM 74.976562 1706531331.9920
MEM 74.976562 1706531332.0923
MEM 74.976562 1706531332.1926
MEM 74.976562 1706531332.2929
MEM 74.976562 1706531332.3932
MEM 74.976562 1706531332.4935
MEM 74.976562 1706531332.5938
MEM 74.976562 1706531332.6941
MEM 74.976562 1706531332.7944
MEM 74.976562 1706531332.8947
MEM 74.976562 1706531332.9950
MEM 74.976562 1706531333.0953
MEM 74.976562 1706531333.1956
MEM 74.976562 1706531333.2959
MEM 74.976562 1706531333.3962
MEM 74.976562 1706531333.4965
MEM 74.976562 1706531333.5968
MEM 74.976562 1706531333.6971
MEM 74.976562 1706531333.7974
MEM 74.976562 1706531333.8977
MEM 74.976562 1706531333.9980
MEM 74.976562 1706531334.0983
MEM 74.976562 1706531334.1986
MEM 74.976562 1706531334.2989
MEM 74.976562 1706531334.3992
MEM 74.976562 1706531334.4995
MEM 74.976562 1706531334.5998
MEM 74.976562 1706531334.7001
MEM 74.976562 1706531334.8004
MEM 74.976562 1706531334.9007
MEM 74.976562 1706531335.0010
MEM 74.976562 1706531335.1013
MEM 74.976562 1706531335.2016
MEM 74.976562 1706531335.3019
MEM 74.976562 1706531335.4022
MEM 74.976562 1706531335.5025
MEM 74.976562 1706531335.6028
MEM 74.976562 1706531335.7031
MEM 74.976562 1706531335.8034
MEM 74.976562 1706531335.9037
MEM 74.976562 1706531336.0040
MEM 74.976562 1706531336.1043
MEM 74.976562 1706531336.2046
MEM 74.976562 1706531336.3049
MEM 74.976562 1706531336.4052
MEM 74.976562 1706531336.5055
MEM 74.976562 1706531336.6058
MEM 74.976562 1706531336.7061
MEM 74.976562 1706531336.8064
MEM 74.976562 1706531336.9067
MEM 74.976562 1706531337.0070
MEM 74.976562 1706531337.1073
MEM 74.976562 1706531337.2077
MEM 74.976562 1706531337.3081
MEM 74.976562 1706531337.4084
MEM 74.976562 1706531337.5087
MEM 74.976562 1706531337.6090
MEM 74.976562 1706531337.7093
MEM 74.976562 1706531337.8096
MEM 74.976562 1706531337.9099
MEM 74.976562 1706531338.0102
FUNC __main__.evolve 46.1953 1706531312.7312 61.9219 1706531312.8635 1
FUNC __main__.evolve 61.9219 1706531312.8639 74.5547 1706531312.9943 1
FUNC __main__.evolve 63.8398 1706531312.9972 74.6641 1706531313.1274 1
FUNC __main__.evolve 63.8398 1706531313.1303 74.6641 1706531313.2599 1
FUNC __main__.evolve 64.8242 1706531313.2628 74.6172 1706531313.3919 1
FUNC __main__.evolve 64.8242 1706531313.3948 74.6172 1706531313.5238 1
FUNC __main__.evolve 65.8086 1706531313.5266 74.5703 1706531313.6556 1
FUNC __main__.evolve 65.8086 1706531313.6585 74.5703 1706531313.7874 1
FUNC __main__.evolve 66.7930 1706531313.7903 74.5234 1706531313.9187 1
FUNC __main__.evolve 66.7930 1706531313.9216 74.5234 1706531314.0500 1
FUNC __main__.evolve 67.7773 1706531314.0528 74.4766 1706531314.1810 1
FUNC __main__.evolve 67.7773 1706531314.1838 74.4766 1706531314.3137 1
FUNC __main__.evolve 68.7617 1706531314.3163 74.4297 1706531314.4468 1
FUNC __main__.evolve 68.7617 1706531314.4496 74.4297 1706531314.5800 1
FUNC __main__.evolve 69.7461 1706531314.5827 74.6406 1706531314.7120 1
FUNC __main__.evolve 69.7461 1706531314.7146 74.6406 1706531314.8431 1
FUNC __main__.evolve 70.7305 1706531314.8458 74.5938 1706531314.9753 1
FUNC __main__.evolve 70.7305 1706531314.9779 74.5938 1706531315.1091 1
FUNC __main__.evolve 71.7148 1706531315.1116 74.5469 1706531315.2410 1
FUNC __main__.evolve 71.7188 1706531315.2436 74.5508 1706531315.3742 1
FUNC __main__.evolve 72.7031 1706531315.3766 74.5039 1706531315.5061 1
FUNC __main__.evolve 72.7031 1706531315.5087 74.5039 1706531315.6389 1
FUNC __main__.evolve 73.6875 1706531315.6414 74.4570 1706531315.7711 1
FUNC __main__.evolve 73.6914 1706531315.7736 74.4609 1706531315.9035 1
FUNC __main__.evolve 74.4609 1706531315.9061 74.9766 1706531316.0361 1
FUNC __main__.evolve 74.9766 1706531316.0387 74.9766 1706531316.1683 1
FUNC __main__.evolve 74.9766 1706531316.1707 74.9766 1706531316.3010 1
FUNC __main__.evolve 74.9766 1706531316.3034 74.9766 1706531316.4333 1
FUNC __main__.evolve 74.9766 1706531316.4357 74.9766 1706531316.5666 1
FUNC __main__.evolve 74.9766 1706531316.5691 74.9766 1706531316.6999 1
FUNC __main__.evolve 74.9766 1706531316.7024 74.9766 1706531316.8341 1
FUNC __main__.evolve 74.9766 1706531316.8366 74.9766 1706531316.9682 1
FUNC __main__.evolve 74.9766 1706531316.9706 74.9766 1706531317.1020 1
FUNC __main__.evolve 74.9766 1706531317.1045 74.9766 1706531317.2352 1
FUNC __main__.evolve 74.9766 1706531317.2377 74.9766 1706531317.3701 1
FUNC __main__.evolve 74.9766 1706531317.3727 74.9766 1706531317.5053 1
FUNC __main__.evolve 74.9766 1706531317.5079 74.9766 1706531317.6385 1
FUNC __main__.evolve 74.9766 1706531317.6410 74.9766 1706531317.7708 1
FUNC __main__.evolve 74.9766 1706531317.7732 74.9766 1706531317.9027 1
FUNC __main__.evolve 74.9766 1706531317.9052 74.9766 1706531318.0358 1
FUNC __main__.evolve 74.9766 1706531318.0385 74.9766 1706531318.1675 1
FUNC __main__.evolve 74.9766 1706531318.1702 74.9766 1706531318.3018 1
FUNC __main__.evolve 74.9766 1706531318.3044 74.9766 1706531318.4359 1
FUNC __main__.evolve 74.9766 1706531318.4385 74.9766 1706531318.5709 1
FUNC __main__.evolve 74.9766 1706531318.5735 74.9766 1706531318.7058 1
FUNC __main__.evolve 74.9766 1706531318.7088 74.9766 1706531318.8410 1
FUNC __main__.evolve 74.9766 1706531318.8436 74.9766 1706531318.9755 1
FUNC __main__.evolve 74.9766 1706531318.9783 74.9766 1706531319.1103 1
FUNC __main__.evolve 74.9766 1706531319.1129 74.9766 1706531319.2457 1
FUNC __main__.evolve 74.9766 1706531319.2483 74.9766 1706531319.3804 1
FUNC __main__.evolve 74.9766 1706531319.3830 74.9766 1706531319.5148 1
FUNC __main__.evolve 74.9766 1706531319.5174 74.9766 1706531319.6496 1
FUNC __main__.evolve 74.9766 1706531319.6523 74.9766 1706531319.7842 1
FUNC __main__.evolve 74.9766 1706531319.7868 74.9766 1706531319.9179 1
FUNC __main__.evolve 74.9766 1706531319.9205 74.9766 1706531320.0514 1
